company1,company2,similarity_score
223,163,24
223,25,24
223,67,17
223,157,18
223,77,5
223,9,23
223,29,0
223,92,16
223,330,5
223,8,2
223,194,3
223,215,6
223,263,5
223,46,17
223,47,15
223,212,6
223,219,26
223,135,2
223,28,9
223,40,8
223,178,4
223,71,18
223,122,31
223,224,3
223,144,26
223,138,22
223,181,1
223,188,2
223,187,16
223,214,7
223,69,17
223,160,3
223,15,5
223,159,19
223,91,14
223,33,24
223,237,6
223,254,12
223,13,37
223,44,9
223,153,10
223,17,11
223,207,10
223,228,25
223,246,3
223,113,2
223,137,24
223,167,9
223,205,10
223,48,10
223,98,35
223,83,19
223,106,22
223,34,8
223,141,0
223,23,7
223,162,6
223,171,26
223,240,10
223,73,19
223,19,6
223,84,3
223,169,14
223,142,1
223,107,0
223,32,3
223,208,5
223,64,2
223,124,23
223,74,1
223,216,0
223,179,14
223,115,8
223,42,2
223,198,15
223,140,6
223,78,2
223,116,15
223,87,14
223,43,2
223,12,0
223,249,3
223,176,1
223,251,0
223,168,3
223,54,1
223,211,16
223,204,0
223,55,6
223,114,12
223,241,3
223,190,12
223,96,3
223,235,4
223,26,2
223,192,2
223,226,3
223,35,19
223,18,12
223,127,1
223,227,4
223,30,3
223,100,3
223,4,22
223,184,0
223,217,0
223,154,29
223,230,0
223,222,0
223,82,2
223,102,11
223,53,1
223,65,7
223,60,8
223,196,16
223,93,7
223,234,12
223,243,2
223,206,1
223,150,0
223,134,0
223,213,8
223,201,0
223,165,1
223,180,0
223,252,6
223,248,0
223,244,0
223,70,1
223,173,4
223,37,15
223,258,16
223,233,13
223,186,10
223,95,3
223,79,8
223,104,3
223,56,0
223,232,1
223,123,8
223,101,0
223,80,0
223,225,6
223,85,2
223,239,0
223,161,0
223,21,0
223,75,0
223,238,0
223,58,0
223,236,0
223,255,0
223,27,4
223,245,7
223,129,1
223,262,0
223,24,7
223,197,0
223,253,2
223,49,14
223,147,6
223,218,0
223,109,1
223,256,0
223,257,0
223,174,0
223,94,0
223,158,1
223,126,1
223,209,1
223,199,0
223,247,0
223,7,0
223,220,0
223,261,1
163,25,30
163,67,14
163,157,18
163,77,4
163,9,26
163,29,0
163,92,22
163,330,4
163,8,2
163,194,2
163,215,4
163,263,3
163,46,17
163,47,8
163,212,5
163,219,23
163,135,2
163,28,12
163,40,8
163,178,4
163,71,19
163,122,23
163,224,3
163,144,18
163,138,27
163,181,1
163,188,2
163,187,12
163,214,5
163,69,21
163,160,3
163,15,3
163,159,25
163,91,16
163,33,25
163,237,11
163,254,22
163,13,29
163,44,6
163,153,13
